name,scientific_name,uses,description
Tulsi,Ocimum tenuiflorum,Cold and cough relief,Used widely in Ayurveda Tulsi boosts immunity helps relieve cold cough and respiratory infections and has antibacterial antiviral properties
Neem,Azadirachta indica,Skin diseases treatment,Neem is known for its powerful antibacterial antifungal and anti inflammatory properties used in treating acne eczema and skin infections
Aloe Vera,Aloe barbadensis,Skin healing,Aloe Vera gel is widely used for soothing burns wounds and skin irritation it hydrates skin and promotes faster healing
Ashwagandha,Withania somnifera,Stress relief,Ashwagandha is an adaptogenic herb that reduces stress anxiety improves stamina and supports overall mental well being
Turmeric,Curcuma longa,Anti inflammatory,Turmeric contains curcumin which has strong anti inflammatory antioxidant and healing properties used in infections and joint pain
Ginger,Zingiber officinale,Digestion support,Ginger improves digestion reduces nausea relieves cold and boosts metabolism with strong antioxidant effects
Garlic,Allium sativum,Heart health,Garlic helps lower cholesterol blood pressure and improves cardiovascular health due to its antimicrobial properties
Peppermint,Mentha piperita,Digestion relief,Peppermint helps relieve indigestion bloating and stomach cramps and has cooling soothing effects
Eucalyptus,Eucalyptus globulus,Cold relief,Eucalyptus oil is used in steam inhalation to relieve nasal congestion cough and respiratory infections
Brahmi,Bacopa monnieri,Memory enhancement,Brahmi enhances memory concentration reduces anxiety and supports brain function and cognitive health
Amla,Phyllanthus emblica,Immunity booster,Amla is rich in Vitamin C strengthens immunity improves digestion and promotes healthy skin and hair
Fenugreek,Trigonella foenum graecum,Diabetes control,Fenugreek seeds help regulate blood sugar improve digestion and reduce cholesterol levels
Clove,Syzygium aromaticum,Toothache relief,Clove has antiseptic and analgesic properties commonly used to relieve toothache and oral infections
Cinnamon,Cinnamomum verum,Blood sugar control,Cinnamon helps control blood sugar improves metabolism and has antioxidant and anti inflammatory benefits
Cardamom,Elettaria cardamomum,Digestion support,Cardamom aids digestion freshens breath and helps detoxify the body with antioxidant effects
Black Pepper,Piper nigrum,Cold relief,Black pepper enhances digestion boosts immunity and improves nutrient absorption in the body
Licorice,Glycyrrhiza glabra,Sore throat relief,Licorice soothes throat irritation reduces cough and has anti inflammatory and antiviral properties
Shatavari,Asparagus racemosus,Women health support,Shatavari supports hormonal balance improves reproductive health and boosts vitality in women
Guduchi,Tinospora cordifolia,Immunity booster,Guduchi also known as Giloy enhances immunity fights infections and supports liver health
Moringa,Moringa oleifera,Nutritional supplement,Moringa is rich in vitamins minerals and antioxidants supports immunity energy and overall nutrition
Arjuna,Terminalia arjuna,Heart health support,Arjuna strengthens heart muscles improves blood circulation and helps manage cardiovascular conditions
Bael,Aegle marmelos,Digestion support,Bael fruit is used to treat diarrhea dysentery and improves digestive system functioning
Giloy,Tinospora cordifolia,Fever reduction,Giloy is used to reduce fever boost immunity and detoxify the body naturally
Haritaki,Terminalia chebula,Digestion improvement,Haritaki improves digestion supports detoxification and promotes gut health
Bibhitaki,Terminalia bellirica,Respiratory support,Bibhitaki helps manage respiratory disorders improves lung function and reduces cough
Sarpagandha,Rauvolfia serpentina,Blood pressure control,Sarpagandha is used to manage hypertension and has calming effects on the nervous system
Kutki,Picrorhiza kurroa,Liver protection,Kutki supports liver function detoxifies the body and improves digestion
Manjistha,Rubia cordifolia,Blood purification,Manjistha purifies blood improves skin health and supports detoxification processes
Kalmegh,Andrographis paniculata,Immunity support,Kalmegh boosts immunity fights infections and is used in fever and cold treatments
Vasaka,Adhatoda vasica,Respiratory relief,Vasaka is used to treat cough asthma bronchitis and improves respiratory health
Jatamansi,Nardostachys jatamansi,Stress relief,Jatamansi calms the mind improves sleep and reduces anxiety and mental stress
Tagar,Valeriana wallichii,Sleep support,Tagar acts as a natural sedative helps treat insomnia and promotes restful sleep
Kalonji,Nigella sativa,Immunity support,Kalonji enhances immunity improves digestion and has antioxidant properties
Anise,Pimpinella anisum,Digestion support,Anise helps relieve gas bloating and improves digestion with mild antimicrobial effects
Fennel,Foeniculum vulgare,Digestion aid,Fennel seeds improve digestion reduce bloating and freshen breath naturally
Mint,Mentha arvensis,Cooling effect,Mint provides cooling effect relieves indigestion and helps in nausea and headaches
Parsley,Petroselinum crispum,Detox support,Parsley supports kidney function helps detoxify the body and improves digestion
Rosemary,Rosmarinus officinalis,Memory support,Rosemary enhances memory concentration and has antioxidant properties
Thyme,Thymus vulgaris,Respiratory support,Thyme helps relieve cough infections and improves respiratory health
Sage,Salvia officinalis,Brain health,Sage improves cognitive function memory and supports mental clarity
Chamomile,Matricaria chamomilla,Relaxation support,Chamomile calms nerves reduces stress and promotes better sleep
Lavender,Lavandula angustifolia,Stress relief,Lavender reduces anxiety promotes relaxation and improves sleep quality
Dandelion,Taraxacum officinale,Liver detox,Dandelion supports liver detoxification improves digestion and reduces water retention
Burdock,Arctium lappa,Blood purifier,Burdock cleanses blood improves skin conditions and removes toxins
Nettle,Urtica dioica,Allergy relief,Nettle reduces allergy symptoms inflammation and supports overall health
Yarrow,Achillea millefolium,Wound healing,Yarrow helps stop bleeding heals wounds and has anti inflammatory properties
Plantain,Plantago major,Skin healing,Plantain is used for wound healing insect bites and skin irritation
Elderberry,Sambucus nigra,Cold relief,Elderberry boosts immunity reduces cold symptoms and fights infections
Ginseng,Panax ginseng,Energy boost,Ginseng improves energy stamina mental performance and reduces fatigue
Kalmegh,Andrographis paniculata,Liver support and immunity,Kalmegh is known as the King of Bitters and is highly valued for liver protection fevers and immune defense
Gokshura,Tribulus terrestris,Men's vitality and kidney support,Gokshura boosts energy strength and supports urinary and male reproductive system health
Shankhpushpi,Convolvulus pluricaulis,Memory enhancement and brain power,Shankhpushpi is a premier brain tonic that improves memory focus and calms the mind